Run_name	WM_retained	CSF_retained
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-048/func/sub-048_task-regularity_run-2_desc-confounds_timeseries.json	8	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-048/func/sub-048_task-regularity_run-3_desc-confounds_timeseries.json	11	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-048/func/sub-048_task-regularity_run-4_desc-confounds_timeseries.json	12	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-049/func/sub-049_task-localizer_desc-confounds_timeseries.json	10	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-049/func/sub-049_task-regularity_run-1_desc-confounds_timeseries.json	15	31
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-049/func/sub-049_task-regularity_run-2_desc-confounds_timeseries.json	15	30
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-049/func/sub-049_task-regularity_run-3_desc-confounds_timeseries.json	15	30
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-049/func/sub-049_task-regularity_run-4_desc-confounds_timeseries.json	15	32
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-050/func/sub-050_task-localizer_desc-confounds_timeseries.json	5	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-050/func/sub-050_task-regularity_run-1_desc-confounds_timeseries.json	7	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-050/func/sub-050_task-regularity_run-2_desc-confounds_timeseries.json	7	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-050/func/sub-050_task-regularity_run-3_desc-confounds_timeseries.json	6	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-050/func/sub-050_task-regularity_run-4_desc-confounds_timeseries.json	6	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-051/func/sub-051_task-localizer_desc-confounds_timeseries.json	4	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-051/func/sub-051_task-regularity_run-1_desc-confounds_timeseries.json	10	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-051/func/sub-051_task-regularity_run-2_desc-confounds_timeseries.json	11	30
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-051/func/sub-051_task-regularity_run-3_desc-confounds_timeseries.json	20	33
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-051/func/sub-051_task-regularity_run-4_desc-confounds_timeseries.json	18	30
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-052/func/sub-052_task-localizer_desc-confounds_timeseries.json	1	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-052/func/sub-052_task-regularity_run-1_desc-confounds_timeseries.json	1	13
